"loglik","iterations","mu","sigma","lambda","mu2","sigma2","lambda2"
"00Ip5",-65194.3480684465,81,28.4398683755118,8.50024729200232,0.859525216918304,5.93075570490862,3.86658945102877,0.140474783081696
"00M_410",-67191.6952703737,89,31.7268363612094,9.90118831808197,0.878384401174091,7.3626065642495,4.33775674002541,0.121615598825909
"CBS.678.85",-68347.5225634782,99,31.9322650300906,11.0336575788681,0.89094374588247,7.02035072204843,4.08491945154064,0.10905625411753
"Ipom_1.2",-62005.6582857537,49,27.6087856934321,6.06965845829055,0.809693237648624,7.91793777610035,4.88678285547611,0.190306762351376
"Ipom_2.4",-71529.8770387726,117,41.206086621475,12.0503287894233,0.847480082943582,9.21005213160468,6.04641247462864,0.152519917056418
"P3001",-60249.3362061053,45,24.7981716817426,5.54170633083641,0.806729209714228,7.43248352126622,4.22102697674891,0.193270790285772
"PIC97136",-40518.915065034,75,10.704667315476,1.74542837148318,0.834027850530253,4.77459695171956,1.84263416524312,0.165972149469747
"PIC97146",-51602.0318120132,136,16.4922588717532,3.64371058658449,0.825586485085482,7.21491223701084,2.85744145935617,0.174413514914518
"PIC97335",-55969.735092139,808,16.9184864972077,5.92230949222213,0.967994439938391,4.72265097626217,1.57198386046081,0.0320055600616087
"PIC97442",-50920.2156347723,165,12.1049078202428,4.30651744128524,0.933353537192804,3.83713098416363,1.48014167818797,0.0666464628071964
"PIC97750",-51380.2428697982,48,23.4450963241037,3.0775235301559,0.832177652144987,10.9484300455854,4.06244703571192,0.167822347855014
"PIC97785",-56631.9197806513,168,20.1146361349858,5.56622654641104,0.911292515433848,6.67066518433467,2.4752314802705,0.0887074845661524
"PIC99114",-74890.4959483221,86,50.2959705084132,15.3289841555896,0.877225299780326,11.7223125833799,6.95174258422646,0.122774700219674
"PIC99167",-67640.0919656247,81,32.4515745974431,9.80234995527702,0.856691136457139,7.08171477970551,4.61056670208357,0.143308863542861
"Pipo5",-71915.3069725915,105,38.5977759848415,13.4714285394358,0.889034314539066,6.93757214106788,4.66287023095892,0.110965685460934
"Pmir5",-66604.3911794513,64,33.2521176302989,8.81869697707424,0.844122394456691,8.87445266945077,5.07092841313269,0.155877605543309
